                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.44466,                0.37671,                0.86774,                0.93237,                  0.875,                  0.995,                0.93215,                0.39924,                0.49494,                 0.8113,             0.00014028,             0.00014028,             0.00014028
                     86,                0.42521,                0.36481,                0.86402,                 0.9365,                0.87402,                  0.995,                 0.9323,                0.41086,                0.50954,                0.81514,             0.00013203,             0.00013203,             0.00013203
                     87,                0.42814,                0.36959,                0.85026,                0.93036,                  0.875,                  0.995,                0.93816,                0.43609,                 0.5326,                0.82178,             0.00012378,             0.00012378,             0.00012378
                     88,                0.42345,                0.38516,                0.86973,                0.92625,                0.87086,                0.97417,                0.91384,                0.42289,                0.49738,                0.81461,             0.00011554,             0.00011554,             0.00011554
                     89,                0.41673,                0.35726,                0.84906,                0.93716,                0.85727,                  0.995,                0.93787,                0.43334,                0.42306,                0.81782,             0.00010729,             0.00010729,             0.00010729
                     90,                0.42902,                0.36569,                0.85784,                0.92618,                0.87204,                0.97417,                0.92271,                0.45859,                0.46504,                0.82124,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                0.39545,                0.31926,                0.83876,                0.92968,                  0.875,                0.91198,                0.86994,                0.46287,                 0.5899,                 0.8295,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                0.36707,                 0.3061,                0.82136,                0.93138,                  0.875,                0.89125,                0.84901,                0.43904,                0.61499,                0.82471,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.35814,                0.30916,                0.82507,                0.93331,                  0.875,                0.97417,                0.91098,                0.45818,                0.55605,                0.82908,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.36659,                0.30025,                0.82039,                0.92876,                  0.875,                  0.995,                0.92869,                0.45198,                0.51111,                0.82363,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.36489,                 0.3086,                0.81344,                0.92736,                  0.875,                  0.995,                0.94125,                0.42031,                0.50007,                0.81545,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.35638,                0.30733,                0.81722,                0.92637,                  0.875,                  0.995,                0.95385,                0.41924,                0.49848,                0.81652,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.34878,                0.29368,                0.80634,                0.92749,                  0.875,                  0.995,                 0.9539,                0.40799,                0.51424,                0.81544,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                 0.3462,                0.29404,                0.81762,                 0.9269,                  0.875,                  0.995,                0.95385,                0.40821,                0.53802,                0.81364,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.34005,                0.29223,                0.81505,                0.92501,                0.87378,                  0.995,                0.95385,                0.41386,                0.53247,                0.81403,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                 0.3373,                 0.2951,                0.80495,                0.92475,                0.87312,                  0.995,                0.94178,                0.41335,                0.50943,                0.81347,             1.6577e-05,             1.6577e-05,             1.6577e-05
